tool		SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/assert2.yml	false	false	2.131477	1.016026442999646	172.281856	false	2.11355	1.009243943999536	173.506560
jbmc-regression/assert3.yml	false	false	2.062594	1.0079088760003287	171.683840	false	2.130865	1.039093381999919	172.969984
jbmc-regression/assert4.yml	false	false	2.083211	0.9877148919995307	169.185280	false	2.134201	1.024069400999906	173.092864
jbmc-regression/assert5.yml	true	true	2.005471	0.9722932739996395	169.066496	true	2.107694	1.017776230999516	175.632384
jbmc-regression/assert6.yml	true	true	2.037382	0.9801436970001305	167.636992	true	2.092091	1.025496235000901	172.650496
jbmc-regression/astore_aload1.yml	true	true	2.059823	0.9742547349997039	114.651136	true	2.052575	0.9738079389999257	115.052544
jbmc-regression/athrow1.yml	false	false	1.871331	0.8944100280004932	115.118080	false	1.956657	0.9378626030002124	116.371456
jbmc-regression/basic1.yml	true	true	1.977671	0.9200701159998061	115.118080	true	1.949501	0.9312611810000817	117.936128
jbmc-regression/bitwise1.yml	true	unknown	2.107306	1.0114670700004353	166.703104	unknown	2.021652	0.9777319369995894	173.006848
jbmc-regression/boolean1.yml	true	true	2.035365	0.9782703620003304	169.320448	true	2.10426	1.0186333189994912	172.433408
jbmc-regression/boolean2.yml	true	true	2.098762	1.0095763520002947	169.418752	true	2.015995	0.9737059969993425	160.055296
jbmc-regression/bug-test-gen-095.yml	false	false	2.030522	0.9734279750000496	120.152064	false	2.066922	0.9765648129996407	120.131584
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.933	0.9357749280006828	114.663424	true	1.887513	0.9079073739994783	115.761152
jbmc-regression/bug-test-gen-119.yml	true	false	2.100779	1.008064018999903	172.531712	false	2.281326	1.0416345300000103	177.213440
jbmc-regression/calc.yml	true	true	47.69473	46.793665131000125	191.111168	true	49.579279	48.91873119600041	190.517248
jbmc-regression/cast1.yml	true	unknown	1.988226	0.9755242900000667	168.095744	unknown	2.213318	1.0608898880000197	172.961792
jbmc-regression/catch1.yml	true	true	1.853651	0.9077534759999253	114.081792	true	1.889628	0.9125591140000324	115.249152
jbmc-regression/char1.yml	true	true	2.089551	1.012925813000038	174.231552	true	2.069315	0.9940647639996314	172.982272
jbmc-regression/charArray.yml	true	unknown	2.07589	0.9959331700001712	173.264896	unknown	2.180075	1.0486308139988978	172.503040
jbmc-regression/classtest1.yml	true	true	1.883465	0.8998336519998702	115.953664	true	1.868485	0.8999012860003859	116.543488
jbmc-regression/const1.yml	true	true	1.853774	0.8795687540005019	117.276672	true	1.803434	0.8837680549986544	115.048448
jbmc-regression/constructor1.yml	true	true	1.85948	0.9060703800005285	122.023936	true	1.846481	0.8971559009987686	114.401280
jbmc-regression/enum1.yml	true	true	1.918786	0.9533310340002572	115.007488	true	1.974673	0.9339486019998731	115.548160
jbmc-regression/exceptions1.yml	false	false	1.968451	0.9592118099999425	115.646464	false	1.93817	0.9331896990006499	117.526528
jbmc-regression/exceptions10.yml	false	false	1.913952	0.9154591859996799	114.876416	false	1.931431	0.921944469000664	123.023360
jbmc-regression/exceptions11.yml	false	false	1.979935	0.9493230119996952	115.417088	false	1.925462	0.9249827389994607	115.732480
jbmc-regression/exceptions12.yml	false	false	1.927323	0.928945281999404	116.498432	false	1.947566	0.9232723979985167	115.113984
jbmc-regression/exceptions13.yml	false	false	1.94353	0.923980754000695	114.249728	false	1.938994	0.9332327900010569	115.843072
jbmc-regression/exceptions14.yml	true	true	1.956157	0.9321952840000449	115.085312	true	1.982641	0.9390481940008613	116.064256
