tool		SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025	SPF Tue Aug 19 05:02:33 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/StringContains02.yml	false	false	2.159383	1.0542586020001181	183.336960
jbmc-regression/StringIndexMethods01.yml	true	true	1.873899	0.9077627210001538	123.453440
jbmc-regression/StringIndexMethods02.yml	false	false	2.102666	1.0249870770001053	181.530624
jbmc-regression/StringIndexMethods03.yml	false	false	2.116303	1.033799634999923	181.116928
jbmc-regression/StringIndexMethods04.yml	false	false	2.094594	1.0285006780000003	181.223424
jbmc-regression/StringIndexMethods05.yml	false	false	2.030503	1.0038196790001166	181.112832
jbmc-regression/StringMiscellaneous01.yml	true	true	1.907414	0.9299686110000493	124.432384
jbmc-regression/StringMiscellaneous02.yml	false	false	2.050378	1.0148288030000003	181.141504
jbmc-regression/StringMiscellaneous03.yml	false	false	2.177167	1.0713831749999372	206.925824
jbmc-regression/StringMiscellaneous04.yml	true	true	1.902483	0.9420680729999731	122.703872
jbmc-regression/StringStartEnd01.yml	true	true	1.840968	0.9225797300000522	122.908672
jbmc-regression/StringStartEnd02.yml	false	false	2.194425	1.0898112460001812	185.540608
jbmc-regression/StringStartEnd03.yml	false	false	2.227281	1.092522279999912	186.376192
jbmc-regression/StringValueOf01.yml	true	true	1.923212	0.9345894030000181	124.968960
jbmc-regression/StringValueOf02.yml	false	false	2.133281	1.0400935489999483	185.200640
jbmc-regression/StringValueOf03.yml	false	false	1.95889	0.9432871040000919	127.062016
jbmc-regression/StringValueOf04.yml	false	false	2.108797	1.0296108720001484	180.682752
jbmc-regression/StringValueOf05.yml	false	false	2.227922	1.0722548639998877	207.257600
jbmc-regression/StringValueOf06.yml	false	false	2.157822	1.0543040960001235	182.333440
jbmc-regression/StringValueOf07.yml	false	unknown	1.945899	0.9559651510001004	123.748352
jbmc-regression/StringValueOf08.yml	false	unknown	1.851218	0.9172957260000203	124.403712
jbmc-regression/StringValueOf09.yml	false	unknown	1.868619	0.9151231360001475	123.408384
jbmc-regression/StringValueOf10.yml	false	false	2.053465	1.0069084809999822	179.216384
jbmc-regression/SubString01.yml	true	true	1.862604	0.9208321389999128	122.765312
jbmc-regression/SubString02.yml	false	false	2.165454	1.0692682540000078	209.575936
jbmc-regression/SubString03.yml	false	false	2.215014	1.0932353030000286	208.707584
jbmc-regression/TokenTest01.yml	true	true	1.899095	0.9301607620000141	123.346944
jbmc-regression/TokenTest02.yml	false	unknown	1.890331	0.9329100350000772	124.194816
jbmc-regression/Validate01.yml	true	true	1.885849	0.9285370309999053	126.406656
jbmc-regression/Validate02.yml	false	unknown	1.896348	0.938341347000005	124.465152
jbmc-regression/aastore_aaload1.yml	true	unknown	163.695803	163.33028046200002	206.131200
jbmc-regression/array1.yml	true	unknown	2.09906	1.0401307160000215	184.659968
jbmc-regression/array2.yml	true	true	1.991138	1.017510047000087	178.745344
jbmc-regression/arraylength1.yml	true	true	2.009394	1.0142541479999636	179.634176
jbmc-regression/arrayread1.yml	true	unknown	2.029653	1.0165108069998041	181.596160
jbmc-regression/assert1.yml	true	true	2.056118	1.0314636929999779	178.577408
jbmc-regression/assert2.yml	false	false	2.053545	1.0270642410000619	180.363264
jbmc-regression/assert3.yml	false	false	2.011796	0.9937284119998822	180.813824
jbmc-regression/assert4.yml	false	false	2.04447	1.0091505820000748	181.387264
jbmc-regression/assert5.yml	true	true	2.055862	1.0302888520000124	179.347456
jbmc-regression/assert6.yml	true	true	1.989682	0.9975595729999895	178.921472
jbmc-regression/astore_aload1.yml	true	true	2.008962	0.9719057889999476	123.781120
jbmc-regression/athrow1.yml	false	false	1.820815	0.9148762820000229	123.908096
jbmc-regression/basic1.yml	true	true	1.8413	0.889502900000025	125.386752
jbmc-regression/bitwise1.yml	true	unknown	2.030561	1.0154524380000112	177.790976
jbmc-regression/boolean1.yml	true	true	1.98515	0.9809866970001622	178.999296
jbmc-regression/boolean2.yml	true	true	2.022409	0.9990130380001574	180.121600
jbmc-regression/bug-test-gen-095.yml	false	false	2.18519	1.0586676610000723	180.162560
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.877935	0.896168267999883	122.343424
jbmc-regression/bug-test-gen-119.yml	true	true	2.167282	1.0704691140001614	205.488128
jbmc-regression/calc.yml	true	unknown	2.138231	1.0298492500000975	183.783424
jbmc-regression/cast1.yml	true	unknown	2.070796	1.0190799810000044	179.503104
