tool		SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/TokenTest02.yml	false	unknown	3.413205	1.732606895000572	118.767616
jbmc-regression/Validate01.yml	true	true	3.415274	1.7374237470003209	116.301824
jbmc-regression/Validate02.yml	false	unknown	3.491646	1.7265644029994291	118.784000
jbmc-regression/aastore_aaload1.yml	true	true	211.399234	210.26130329400075	217.358336
jbmc-regression/array1.yml	true	true	2.231329	1.0722444869998071	184.631296
jbmc-regression/array2.yml	true	true	3.03567	1.4300551790001919	172.625920
jbmc-regression/arraylength1.yml	true	true	3.85892	1.8882932930000607	174.125056
jbmc-regression/arrayread1.yml	true	true	3.777134	1.8722685849998015	175.206400
jbmc-regression/assert1.yml	true	true	3.70827	1.8384420970005522	172.507136
jbmc-regression/assert2.yml	false	false	3.741911	1.870514717000333	173.039616
jbmc-regression/assert3.yml	false	false	3.760785	1.8908037139999578	173.686784
jbmc-regression/assert4.yml	false	false	3.730883	1.8517964689999644	170.491904
jbmc-regression/assert5.yml	true	true	3.707941	1.8911695010001495	173.973504
jbmc-regression/assert6.yml	true	true	3.844656	1.9006828929996118	173.748224
jbmc-regression/astore_aload1.yml	true	true	3.662624	1.7896626429992466	113.811456
jbmc-regression/athrow1.yml	false	false	3.324273	1.6819034580003063	116.887552
jbmc-regression/basic1.yml	true	true	3.349949	1.6862667320001492	115.851264
jbmc-regression/bitwise1.yml	true	unknown	3.664029	1.8448294809995787	171.773952
jbmc-regression/boolean1.yml	true	true	3.734036	1.8618486669993217	172.802048
jbmc-regression/boolean2.yml	true	true	3.680219	1.8611422919993856	173.576192
jbmc-regression/bug-test-gen-095.yml	false	false	3.439926	1.7496524919997682	121.294848
jbmc-regression/bug-test-gen-119-2.yml	true	true	3.34395	1.7097571059994152	114.782208
jbmc-regression/bug-test-gen-119.yml	true	false	3.778874	1.881587314999706	174.964736
jbmc-regression/calc.yml	true	true	87.374453	85.81492198900014	198.164480
jbmc-regression/cast1.yml	true	unknown	2.054351	1.0132367750002231	174.284800
jbmc-regression/catch1.yml	true	true	2.516824	1.2108288620001986	116.297728
jbmc-regression/char1.yml	true	true	3.740567	1.8708685110004808	174.018560
jbmc-regression/charArray.yml	true	unknown	3.810027	1.926588534000075	172.863488
jbmc-regression/classtest1.yml	true	true	3.188969	1.6279561049996119	116.215808
jbmc-regression/const1.yml	true	true	3.164264	1.6545748620001177	116.543488
jbmc-regression/constructor1.yml	true	true	3.511066	1.6882440350000252	115.838976
jbmc-regression/enum1.yml	true	true	3.504784	1.7485102609998648	115.191808
jbmc-regression/exceptions1.yml	false	false	3.469404	1.7251629299998967	117.116928
jbmc-regression/exceptions10.yml	false	false	3.306394	1.6936545640000986	117.346304
jbmc-regression/exceptions11.yml	false	false	3.448497	1.7011865430004036	115.380224
jbmc-regression/exceptions12.yml	false	false	3.366323	1.6861923779997596	116.240384
jbmc-regression/exceptions13.yml	false	false	3.473139	1.7423978460001308	116.084736
jbmc-regression/exceptions14.yml	true	true	3.374635	1.6838825759996325	116.543488
jbmc-regression/exceptions15.yml	true	true	3.405586	1.715277842999967	115.138560
jbmc-regression/exceptions16.yml	false	false	3.490999	1.7428869499999564	119.607296
jbmc-regression/exceptions18.yml	true	true	3.081121	1.6273470270007238	115.965952
jbmc-regression/exceptions2.yml	false	false	3.436315	1.75152653799978	116.404224
jbmc-regression/exceptions3.yml	false	false	3.42848	1.7104354279999825	116.170752
jbmc-regression/exceptions4.yml	true	true	3.421027	1.7165861510002287	116.076544
jbmc-regression/exceptions5.yml	true	true	3.567041	1.7604311639997832	117.391360
jbmc-regression/exceptions6.yml	false	false	3.415599	1.6940737649993025	117.465088
jbmc-regression/exceptions7.yml	false	false	3.468052	1.7209276680005132	125.837312
jbmc-regression/exceptions8.yml	false	false	3.302256	1.6668709040004615	116.871168
jbmc-regression/exceptions9.yml	true	true	3.342082	1.6880111020000186	116.645888
jbmc-regression/fcmpx_dcmpx1.yml	true	true	3.292001	1.6675685119998889	115.720192
jbmc-regression/iarith1.yml	true	true	3.323761	1.6813496519998807	114.049024
jbmc-regression/iarith2.yml	true	true	3.295451	1.6827760589994796	115.683328
jbmc-regression/if_acmp1.yml	true	true	3.356861	1.6865112779996707	116.445184
jbmc-regression/if_expr1.yml	true	true	3.617237	1.8751435819995095	172.961792
jbmc-regression/if_icmp1.yml	true	true	3.705204	1.8687889029997677	173.346816
jbmc-regression/ifxx1.yml	true	true	3.317938	1.6741120579999915	114.843648
jbmc-regression/instanceof1.yml	true	true	3.217486	1.6832819139999629	115.986432
jbmc-regression/instanceof2.yml	true	true	3.228318	1.645923830999891	114.688000
jbmc-regression/instanceof3.yml	true	true	3.294762	1.6704469169999356	114.999296
jbmc-regression/instanceof4.yml	true	true	3.28093	1.654471034999915	115.761152
jbmc-regression/instanceof5.yml	true	true	3.295007	1.6879168269997535	114.970624
jbmc-regression/instanceof6.yml	true	true	3.276106	1.6722686270004488	116.510720
jbmc-regression/instanceof7.yml	true	true	3.242063	1.6382747039997412	114.724864
jbmc-regression/instanceof8.yml	true	true	3.271503	1.6631012459993144	114.733056
jbmc-regression/interface1.yml	false	false	3.325858	1.6758945239998866	117.555200
jbmc-regression/java_append_char.yml	false	false	3.780169	1.874197625999841	172.761088
jbmc-regression/lazyloading4.yml	true	true	3.172289	1.6208456309996109	115.474432
jbmc-regression/list1.yml	true	true	43.900105	21.93778978499995	624.746496
jbmc-regression/long1.yml	true	true	1.850677	0.9112059899998712	116.346880
jbmc-regression/lookupswitch1.yml	true	true	3.246621	1.5244979899998725	175.529984
jbmc-regression/multinewarray.yml	true	true	3.311389	1.6821666859996185	115.113984
jbmc-regression/overloading1.yml	true	true	3.325658	1.672743929999342	116.682752
jbmc-regression/package1.yml	true	true	3.399991	1.7319647059994168	115.630080
jbmc-regression/putfield_getfield1.yml	true	true	3.302738	1.710826769999585	115.646464
jbmc-regression/putstatic_getstatic1.yml	true	true	3.318881	1.7046477249996315	116.301824
jbmc-regression/recursion2.yml	true	true	3.351206	1.715856920999613	115.912704
jbmc-regression/return1.yml	false	false	3.391032	1.7209596349994172	115.900416
jbmc-regression/return2.yml	false	false	3.867803	1.9545712240005741	174.620672
jbmc-regression/store_load1.yml	true	true	3.426024	1.76972162400034	115.183616
jbmc-regression/swap1.yml	true	true	3.425488	1.775784831999772	115.044352
jbmc-regression/synchronized.yml	true	true	3.327982	1.74646461500015	115.003392
jbmc-regression/tableswitch1.yml	true	true	3.994679	1.9350881660002415	177.270784
jbmc-regression/uninitialised1.yml	true	true	3.240129	1.6719704400002229	114.958336
jbmc-regression/virtual1.yml	true	true	3.371299	1.7005492560001585	121.913344
jbmc-regression/virtual2.yml	false	false	3.250784	1.6544424809999327	115.965952
jbmc-regression/virtual4.yml	true	true	3.250645	1.6497491440004524	115.994624
jbmc-regression/virtual_function_unwinding.yml	true	true	3.262561	1.6617228240002078	116.867072
jpf-regression/ExDarko_false.yml	false	false	3.903656	1.9335669829997642	175.235072
jpf-regression/ExDarko_true.yml	true	true	4.076301	2.025877959999889	174.039040
jpf-regression/ExException_false.yml	false	false	3.742556	1.933612585999981	172.896256
