tool		SPF Wed Aug 20 01:45:48 PM IST 2025	SPF Wed Aug 20 01:45:48 PM IST 2025	SPF Wed Aug 20 01:45:48 PM IST 2025	SPF Wed Aug 20 01:45:48 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/SubString01.yml	true	true	1.867298	0.9196914370004379	122.671104
jbmc-regression/SubString02.yml	false	false	2.227288	1.095398469000429	209.555456
jbmc-regression/SubString03.yml	false	false	2.225841	1.0753659890015115	209.178624
jbmc-regression/TokenTest01.yml	true	true	1.950966	0.9551861839991034	123.416576
jbmc-regression/TokenTest02.yml	false	unknown	1.950543	0.9405673549990752	124.899328
jbmc-regression/Validate01.yml	true	true	1.913823	0.937874004999685	122.912768
jbmc-regression/Validate02.yml	false	unknown	1.961694	0.969088413999998	124.641280
jbmc-regression/aastore_aaload1.yml	true	true	162.798959	162.45026023699938	214.564864
jbmc-regression/array1.yml	true	true	2.169797	1.034116498000003	186.929152
jbmc-regression/array2.yml	true	true	2.013246	0.9978593949999777	179.597312
jbmc-regression/arraylength1.yml	true	true	2.007678	1.0041351890013175	178.737152
jbmc-regression/arrayread1.yml	true	true	2.022665	1.0237386919998244	181.288960
jbmc-regression/assert1.yml	true	true	2.091603	1.0502103140006511	180.293632
jbmc-regression/assert2.yml	false	false	2.072155	1.0231843380006467	180.060160
jbmc-regression/assert3.yml	false	false	2.022566	1.011270410999714	180.318208
jbmc-regression/assert4.yml	false	false	2.034636	1.021155408998311	179.990528
jbmc-regression/assert5.yml	true	true	1.995529	0.9955843829993682	179.720192
jbmc-regression/assert6.yml	true	true	2.012147	1.0217712289995688	178.688000
jbmc-regression/astore_aload1.yml	true	true	1.988048	0.9729123130000517	122.286080
jbmc-regression/athrow1.yml	false	false	1.881141	0.9447620509999979	123.760640
jbmc-regression/basic1.yml	true	true	1.774617	0.89846056100032	122.085376
jbmc-regression/bitwise1.yml	true	unknown	1.990925	0.9973054620004405	178.704384
jbmc-regression/boolean1.yml	true	true	2.0164	0.9914862480000011	179.687424
jbmc-regression/boolean2.yml	true	true	1.997882	0.9828652390006027	179.527680
jbmc-regression/bug-test-gen-095.yml	false	false	2.188222	1.07440223499907	180.137984
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.862534	0.9258026709994738	123.482112
jbmc-regression/bug-test-gen-119.yml	true	true	2.180333	1.0606057629993302	205.320192
jbmc-regression/calc.yml	true	unknown	2.203975	1.062273923000248	187.240448
jbmc-regression/cast1.yml	true	unknown	2.06619	1.02432226000019	179.490816
jbmc-regression/catch1.yml	true	true	1.847834	0.9322199010002805	122.675200
jbmc-regression/char1.yml	true	unknown	2.129809	1.0449798770005145	201.068544
jbmc-regression/charArray.yml	true	unknown	2.027468	1.0061081029998604	179.941376
jbmc-regression/classtest1.yml	true	true	1.764984	0.9000009710016457	122.327040
jbmc-regression/const1.yml	true	true	1.875603	0.9308539399989968	122.482688
jbmc-regression/constructor1.yml	true	true	1.79095	0.897579862999919	121.614336
jbmc-regression/enum1.yml	true	true	1.870147	0.9312636110007588	122.580992
jbmc-regression/exceptions1.yml	false	false	1.865372	0.9229170679991512	123.338752
jbmc-regression/exceptions10.yml	false	false	1.890484	0.9240875519990368	122.802176
jbmc-regression/exceptions11.yml	false	false	1.899505	0.9501186750003399	123.580416
jbmc-regression/exceptions12.yml	false	false	1.917055	0.9476880790007272	123.990016
jbmc-regression/exceptions13.yml	false	false	1.82371	0.9124088370008394	123.670528
jbmc-regression/exceptions14.yml	true	true	1.880939	0.9289447259998269	122.101760
jbmc-regression/exceptions15.yml	true	true	1.846217	0.8975284750013088	122.290176
jbmc-regression/exceptions16.yml	false	false	1.914932	0.9548719730009907	124.088320
jbmc-regression/exceptions18.yml	true	true	1.849536	0.9355597880003188	122.798080
jbmc-regression/exceptions2.yml	false	false	1.930778	0.9512328930013609	123.109376
jbmc-regression/exceptions3.yml	false	false	1.836051	0.9091226119999192	123.457536
jbmc-regression/exceptions4.yml	true	true	1.927453	0.945405161999588	131.198976
jbmc-regression/exceptions5.yml	true	true	1.872166	0.9500695619990438	122.503168
jbmc-regression/exceptions6.yml	false	false	1.888219	0.9481672909987537	124.198912
jbmc-regression/exceptions7.yml	false	false	1.853257	0.9268135040001653	123.502592
jbmc-regression/exceptions8.yml	false	false	1.894825	0.9359661830003461	123.650048
jbmc-regression/exceptions9.yml	true	true	1.854285	0.9180473010001151	122.900480
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.820188	0.903900971999974	121.896960
jbmc-regression/iarith1.yml	true	true	1.891217	0.9303567040005873	122.273792
jbmc-regression/iarith2.yml	true	true	1.84498	0.9103660920009133	121.819136
jbmc-regression/if_acmp1.yml	true	true	1.852264	0.9329585309988033	122.368000
jbmc-regression/if_expr1.yml	true	true	1.987069	0.991412298000796	179.433472
jbmc-regression/if_icmp1.yml	true	true	2.071608	1.0085069389988348	179.871744
jbmc-regression/ifxx1.yml	true	true	1.840324	0.9309821409988217	121.335808
jbmc-regression/instanceof1.yml	true	true	1.823497	0.9170350160002272	122.318848
jbmc-regression/instanceof2.yml	true	true	1.835804	0.8967566930004978	121.094144
jbmc-regression/instanceof3.yml	true	true	1.825471	0.9177871819993015	122.236928
jbmc-regression/instanceof4.yml	true	true	1.83364	0.8993716860004497	122.920960
jbmc-regression/instanceof5.yml	true	true	1.831859	0.9052344219999213	122.183680
jbmc-regression/instanceof6.yml	true	true	1.87859	0.9366746269988653	121.958400
jbmc-regression/instanceof7.yml	true	true	1.848563	0.9054721400007111	122.380288
jbmc-regression/instanceof8.yml	true	true	1.867446	0.937048911000602	122.740736
jbmc-regression/interface1.yml	false	false	1.851692	0.9218688549990475	123.518976
jbmc-regression/java_append_char.yml	false	false	2.162665	1.0601497540010314	180.338688
jbmc-regression/lazyloading4.yml	true	true	1.813679	0.8853960369997367	122.273792
jbmc-regression/list1.yml	true	true	29.390343	13.986657239000124	594.755584
jbmc-regression/long1.yml	true	true	1.890417	0.9463523449994682	122.126336
jbmc-regression/lookupswitch1.yml	true	true	2.156548	1.0386703599997418	184.020992
jbmc-regression/multinewarray.yml	true	true	1.84758	0.9279998070014699	125.722624
jbmc-regression/overloading1.yml	true	true	1.798283	0.894614509999883	122.277888
jbmc-regression/package1.yml	true	true	1.817556	0.8897389020003175	121.987072
jbmc-regression/putfield_getfield1.yml	true	true	1.785306	0.9061104209995392	121.847808
jbmc-regression/putstatic_getstatic1.yml	true	true	1.885943	0.926028566000241	121.876480
jbmc-regression/recursion2.yml	true	true	1.817998	0.9116196619997936	121.982976
jbmc-regression/return1.yml	false	false	1.854797	0.919251699000597	122.867712
jbmc-regression/return2.yml	false	false	1.999265	0.9982941440011928	181.239808
jbmc-regression/store_load1.yml	true	true	1.901774	0.9436881589990662	122.683392
jbmc-regression/swap1.yml	true	true	1.787286	0.9017206770004123	121.851904
jbmc-regression/synchronized.yml	true	true	1.826167	0.9208349389991781	122.765312
jbmc-regression/tableswitch1.yml	true	true	2.100012	1.0199588569994376	182.308864
jbmc-regression/uninitialised1.yml	true	true	1.842166	0.9398277820000658	121.475072
jbmc-regression/virtual1.yml	true	true	1.817957	0.9068463660005364	122.204160
jbmc-regression/virtual2.yml	false	false	1.866428	0.9328630920008436	123.146240
jbmc-regression/virtual4.yml	true	true	1.81442	0.9032962040000712	122.368000
jbmc-regression/virtual_function_unwinding.yml	true	true	1.904226	0.9325214789987513	122.224640
jpf-regression/ExDarko_false.yml	false	false	2.177293	1.0638189510009397	181.899264
jpf-regression/ExDarko_true.yml	true	true	2.067632	1.0164660520003963	179.425280
jpf-regression/ExException_false.yml	false	false	2.05168	1.0225195570001233	181.346304
jpf-regression/ExException_true.yml	true	true	1.992605	1.0013278249989526	180.027392
jpf-regression/ExGenSymExe_false.yml	false	false	1.888947	0.9221077450001758	123.506688
jpf-regression/ExGenSymExe_true.yml	true	true	1.918489	0.948505608999767	124.792832
jpf-regression/ExLazy_false.yml	false	false	2.046888	1.028846306999185	181.014528
jpf-regression/ExLazy_true.yml	true	true	2.120892	1.0286971460009227	180.027392
jpf-regression/ExMIT_false.yml	false	false	2.088232	1.0272533179995662	180.932608
jpf-regression/ExMIT_true.yml	true	true	2.001302	0.9915270139990753	179.286016
jpf-regression/ExSymExe10_false.yml	false	false	2.031883	1.0218889799998578	181.997568
jpf-regression/ExSymExe10_true.yml	true	true	2.095901	1.0425651219993597	179.888128
jpf-regression/ExSymExe11_false.yml	false	false	1.947063	0.9480509229997551	125.407232
jpf-regression/ExSymExe11_true.yml	true	true	2.130237	1.0340615850000177	179.970048
jpf-regression/ExSymExe12_false.yml	false	false	2.202772	1.0415732549990935	190.083072
jpf-regression/ExSymExe12_true.yml	true	true	2.020197	1.0134307169992098	179.900416
jpf-regression/ExSymExe13_false.yml	false	false	2.048317	1.0026274510000803	182.489088
jpf-regression/ExSymExe13_true.yml	true	true	2.07151	1.0353384379995987	179.957760
jpf-regression/ExSymExe14_false.yml	false	false	2.167492	1.058467627999562	184.541184
jpf-regression/ExSymExe14_true.yml	true	true	2.050706	1.015901759999906	179.646464
jpf-regression/ExSymExe15_false.yml	false	false	2.040351	1.0225812030002999	181.374976
jpf-regression/ExSymExe15_true.yml	true	true	2.023059	1.009212225999363	179.560448
jpf-regression/ExSymExe16_false.yml	false	false	1.872882	0.9442731610015471	123.101184
jpf-regression/ExSymExe16_true.yml	true	true	1.939487	0.9383559920006519	121.933824
jpf-regression/ExSymExe17_false.yml	false	false	1.861662	0.9159993970006326	123.269120
jpf-regression/ExSymExe17_true.yml	true	true	1.86121	0.9198788600006083	122.548224
jpf-regression/ExSymExe18_false.yml	false	false	2.060443	1.0364222790012718	177.192960
jpf-regression/ExSymExe18_true.yml	true	true	1.816042	0.9071941310012335	122.822656
jpf-regression/ExSymExe19_false.yml	false	false	2.013511	1.0093111719997978	181.727232
jpf-regression/ExSymExe19_true.yml	true	true	2.061307	1.016063403998487	180.269056
jpf-regression/ExSymExe1_false.yml	false	false	2.062872	1.0244278690006468	180.994048
jpf-regression/ExSymExe1_true.yml	true	true	1.859141	0.9072658960012632	122.056704
jpf-regression/ExSymExe20_false.yml	false	false	2.10965	1.0321329139987938	181.981184
jpf-regression/ExSymExe20_true.yml	true	true	1.837411	0.8956549889990129	121.991168
jpf-regression/ExSymExe21_false.yml	false	false	2.053913	1.026132087001315	181.374976
jpf-regression/ExSymExe21_true.yml	true	true	1.875079	0.9172198439991917	121.810944
jpf-regression/ExSymExe25_false.yml	false	false	2.094359	1.0173176349999267	181.551104
jpf-regression/ExSymExe25_true.yml	true	true	1.868594	0.9320926910004346	123.002880
jpf-regression/ExSymExe26_false.yml	false	false	2.11742	1.0403717030003463	181.182464
jpf-regression/ExSymExe26_true.yml	true	true	1.809376	0.8888389479998295	122.376192
jpf-regression/ExSymExe27_false.yml	false	false	2.067392	1.0104002030002448	181.153792
jpf-regression/ExSymExe27_true.yml	true	true	1.850626	0.9102094069985469	122.335232
jpf-regression/ExSymExe28_false.yml	false	false	2.078666	1.0106194049985788	184.680448
jpf-regression/ExSymExe28_true.yml	true	true	1.843193	0.9031118560014875	122.499072
jpf-regression/ExSymExe29_false.yml	false	false	2.081631	1.0461729239996203	181.972992
jpf-regression/ExSymExe29_true.yml	true	true	1.876098	0.9272276030005742	122.425344
jpf-regression/ExSymExe2_false.yml	false	false	2.126936	1.0344269220004207	182.173696
jpf-regression/ExSymExe2_true.yml	true	true	1.911173	0.9439838160014915	122.687488
jpf-regression/ExSymExe3_false.yml	false	false	2.116456	1.038776028999564	180.822016
